#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Feb 18 06:17:21 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DS2_map.ncd
#OUTPUT FILE:      DS2_pad.csv
#PART TYPE:        xa6slx4
#SPEED GRADE:      -3
#PACKAGE:          csg225
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,data2<4>,IOB,IO_L1N_VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A3,data2<6>,IOB,IO_L2N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A4,data2<2>,IOB,IO_L4N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A5,data2<8>,IOB,IO_L6N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A6,data2<10>,IOB,IO_L33N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A7,data2<14>,IOB,IO_L35N_GCLK16_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A8,data2<16>,IOB,IO_L36N_GCLK14_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A9,data2<18>,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A10,data2<24>,IOB,IO_L62N_VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A11,data2<26>,IOB,IO_L63N_SCP6_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A12,data2<30>,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A13,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
A14,,,TCK,,,,,,,,,,,,
A15,,,GND,,,,,,,,,,,,
B1,,,VCCAUX,,,,,,,,2.5,,,,
B2,data2<3>,IOB,IO_L1P_HSWAPEN_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B3,data2<5>,IOB,IO_L2P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B4,,,VCCO_0,,,0,,,,,any******,,,,
B5,data2<7>,IOB,IO_L6P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B6,,,GND,,,,,,,,,,,,
B7,data2<13>,IOB,IO_L35P_GCLK17_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B8,,,VCCO_0,,,0,,,,,any******,,,,
B9,data2<17>,IOB,IO_L37P_GCLK13_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B10,,,GND,,,,,,,,,,,,
B11,data2<25>,IOB,IO_L63P_SCP7_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B12,,,VCCO_0,,,0,,,,,any******,,,,
B13,data2<29>,IOB,IO_L65P_SCP3_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B14,out<0>,IOB,IO_L1P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,out<1>,IOB,IO_L1N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C1,data1<31>,IOB,IO_L83N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
C2,data1<30>,IOB,IO_L83P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
C3,,,GND,,,,,,,,,,,,
C4,data2<1>,IOB,IO_L4P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C5,data2<0>,IOB,IO_L3N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C6,data2<9>,IOB,IO_L33P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C7,,,NC,,,,,,,,,,,,
C8,data2<15>,IOB,IO_L36P_GCLK15_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C9,data2<20>,IOB,IO_L39N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C10,data2<23>,IOB,IO_L62P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C11,data2<28>,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C12,data2<31>,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,GND,,,,,,,,,,,,
C14,out<2>,IOB,IO_L33P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C15,out<3>,IOB,IO_L33N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,data1<29>,IOB,IO_L54N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D2,,,VCCO_3,,,3,,,,,any******,,,,
D3,data1<28>,IOB,IO_L54P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,data1<26>,IOB,IO_L53P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D5,select,IOB,IO_L3P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,NC,,,,,,,,,,,,
D7,,,NC,,,,,,,,,,,,
D8,data2<12>,IOB,IO_L34N_GCLK18_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D9,,,VCCO_0,,,0,,,,,any******,,,,
D10,data2<19>,IOB,IO_L39P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D11,data2<27>,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D12,,,TDO,,,,,,,,,,,,
D13,out<4>,IOB,IO_L35P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D14,,,VCCO_1,,,1,,,,,2.50,,,,
D15,out<5>,IOB,IO_L35N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,data1<25>,IOB,IO_L52N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E2,data1<24>,IOB,IO_L52P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E3,data1<27>,IOB,IO_L53N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E4,,,NC,,,,,,,,,,,,
E5,,,NC,,,,,,,,,,,,
E6,,,NC,,,,,,,,,,,,
E7,data2<11>,IOB,IO_L34P_GCLK19_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E8,,,NC,,,,,,,,,,,,
E9,data2<22>,IOB,IO_L40N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E10,,,TDI,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,,VCCAUX,,,,,,,,2.5,,,,
E13,,,TMS,,,,,,,,,,,,
E14,out<8>,IOB,IO_L37P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E15,out<9>,IOB,IO_L37N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,data1<23>,IOB,IO_L46N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F2,,,GND,,,,,,,,,,,,
F3,data1<22>,IOB,IO_L46P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F4,,,NC,,,,,,,,,,,,
F5,,,NC,,,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCAUX,,,,,,,,2.5,,,,
F8,,,NC,,,,,,,,,,,,
F9,,,VCCINT,,,,,,,,1.2,,,,
F10,data2<21>,IOB,IO_L40P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F11,,,NC,,,,,,,,,,,,
F12,,,NC,,,,,,,,,,,,
F13,out<12>,IOB,IO_L39P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F14,,,GND,,,,,,,,,,,,
F15,out<13>,IOB,IO_L39N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,data1<12>,IOB,IO_L44N_GCLK20_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,data1<18>,IOB,IO_L44P_GCLK21_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G3,,,NC,,,,,,,,,,,,
G4,,,VCCO_3,,,3,,,,,any******,,,,
G5,,,NC,,,,,,,,,,,,
G6,,,VCCINT,,,,,,,,1.2,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCINT,,,,,,,,1.2,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,,,NC,,,,,,,,,,,,
G12,,,NC,,,,,,,,,,,,
G13,,,NC,,,,,,,,,,,,
G14,out<21>,IOB,IO_L41P_GCLK9_IRDY1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,out<17>,IOB,IO_L41N_GCLK8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,data1<11>,IOB,IO_L42N_GCLK24_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,,,VCCO_3,,,3,,,,,any******,,,,
H3,data1<14>,IOB,IO_L42P_GCLK25_TRDY2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,,,NC,,,,,,,,,,,,
H5,,,NC,,,,,,,,,,,,
H6,,,NC,,,,,,,,,,,,
H7,,,VCCINT,,,,,,,,1.2,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,NC,,,,,,,,,,,,
H11,,,NC,,,,,,,,,,,,
H12,,,NC,,,,,,,,,,,,
H13,out<23>,IOB,IO_L42P_GCLK7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,,,VCCO_1,,,1,,,,,2.50,,,,
H15,out<24>,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,data1<16>,IOB,IO_L41N_GCLK26_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,data1<19>,IOB,IO_L41P_GCLK27_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J3,data1<17>,IOB,IO_L43N_GCLK22_IRDY2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J4,data1<21>,IOB,IO_L45N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,,,NC,,,,,,,,,,,,
J6,,,VCCAUX,,,,,,,,2.5,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,out<6>,IOB,IO_L36P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J12,,,VCCO_1,,,1,,,,,2.50,,,,
J13,out<7>,IOB,IO_L36N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,out<15>,IOB,IO_L43P_GCLK5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J15,out<16>,IOB,IO_L43N_GCLK4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,data1<15>,IOB,IO_L40N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K2,,,GND,,,,,,,,,,,,
K3,data1<10>,IOB,IO_L40P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,data1<13>,IOB,IO_L43P_GCLK23_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K5,data1<20>,IOB,IO_L45P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K6,,,GND,,,,,,,,,,,,
K7,,,VCCINT,,,,,,,,1.2,,,,
K8,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
K9,,,VCCAUX,,,,,,,,2.5,,,,
K10,out<10>,IOB,IO_L38P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K11,out<11>,IOB,IO_L38N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K12,out<14>,IOB,IO_L40P_GCLK11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K13,out<22>,IOB,IO_L44P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K14,,,GND,,,,,,,,,,,,
K15,out<18>,IOB,IO_L44N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,data1<9>,IOB,IO_L39N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,data1<8>,IOB,IO_L39P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L3,data1<1>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,,,VCCAUX,,,,,,,,2.5,,,,
L5,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
L6,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
L7,,,NC,,,,,,,,,,,,
L8,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
L9,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
L10,,,CMPCS_B_2,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,out<20>,IOB,IO_L40N_GCLK10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L13,,,SUSPEND,,,,,,,,,,,,
L14,out<19>,IOB,IO_L45P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L15,out<25>,IOB,IO_L45N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,data1<7>,IOB,IO_L38N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
